date,total_trips,percentage_within_15min,percentage_15_to_30min,percentage_above30min,percentage_Customer,percentage_Subscriber,percentage_Female,percentage_Male
2019-08-01,82156,0.6954695944301086,0.23421296070889527,0.07031744486099616,0.08084619504357564,0.9191538049564244,0.25987146404401384,0.7401285359559862
2019-08-02,75731,0.6817023411812864,0.24322932484715637,0.07506833397155722,0.0979387569159261,0.9020612430840739,0.26633743117085473,0.7336625688291453
2019-08-03,65371,0.5844028697740589,0.29476373315384496,0.12083339707209619,0.20449434764650992,0.7955056523534901,0.3192700126967616,0.6807299873032384
2019-08-04,57344,0.6156529017857143,0.27491978236607145,0.10942731584821429,0.19163295200892858,0.8083670479910714,0.3086635044642857,0.6913364955357143
2019-08-05,75689,0.6749461612651773,0.24792241937401735,0.0771314193608054,0.0959320376805084,0.9040679623194916,0.2674232715454029,0.7325767284545971
2019-08-06,76867,0.6810074544342826,0.24617846410032915,0.07281408146538827,0.08530318602261049,0.9146968139773896,0.26661636332886673,0.7333836366711333
2019-08-07,49099,0.7384264445304385,0.20741766634758346,0.054155889121978044,0.07319904682376423,0.9268009531762358,0.245992790077191,0.754007209922809
2019-08-08,73928,0.6818120333297262,0.2427091223893518,0.07547884428092198,0.08634076398658154,0.9136592360134185,0.2585623850232659,0.7414376149767341
2019-08-09,73549,0.6732790384641532,0.2505812451562904,0.07613971637955648,0.1020952018382303,0.8979047981617697,0.26525173693727994,0.73474826306272
2019-08-10,69054,0.559055232137168,0.30455875112231007,0.13638601674052192,0.22291250325831957,0.7770874967416804,0.32826483621513597,0.6717351637848641
2019-08-11,62144,0.5935890834191555,0.2857878475798146,0.12062306900102987,0.2020790422245108,0.7979209577754892,0.3127896498455201,0.68721035015448
2019-08-12,74685,0.6708709914976233,0.25391979647854324,0.07520921202383343,0.09688692508535851,0.9031130749146415,0.27089777063667403,0.729102229363326
2019-08-13,70070,0.7077065791351506,0.23052661624090195,0.06176680462394748,0.07660910518053375,0.9233908948194662,0.25857000142714426,0.7414299985728557
2019-08-14,70594,0.6993795506700287,0.23575657987930987,0.06486386945066153,0.07914270334589342,0.9208572966541065,0.25837889905657707,0.7416211009434229
2019-08-15,78538,0.6797473834322239,0.24635208434133796,0.07390053222643815,0.08952354274364002,0.91047645725636,0.26369400799612924,0.7363059920038708
2019-08-16,74143,0.679686551663677,0.24741378147633628,0.07289966685998678,0.10489189808882834,0.8951081019111716,0.26756403166853243,0.7324359683314676
2019-08-17,65421,0.5661331988199508,0.3021812567829902,0.13168554439705904,0.2188135308234359,0.7811864691765641,0.32532367282676816,0.6746763271732319
2019-08-18,48383,0.6399148461236385,0.26230287497674803,0.0977822788996135,0.1745861149577331,0.8254138850422669,0.3078147283136639,0.6921852716863361
2019-08-19,68589,0.69476155068597,0.23461487993701613,0.0706235693770138,0.0868652407820496,0.9131347592179504,0.2631471518756652,0.7368528481243348
2019-08-20,76635,0.6868793632152411,0.24114308083773733,0.0719775559470216,0.08763619755986168,0.9123638024401384,0.27107718405428327,0.7289228159457167
2019-08-21,68013,0.7110993486539338,0.22544219487450928,0.06345845647155691,0.07905841530295679,0.9209415846970432,0.25955332068869186,0.7404466793113081
2019-08-22,68312,0.703009720107741,0.2318040754186673,0.06518620447359176,0.07628235156341492,0.9237176484365851,0.26201838622789553,0.7379816137721045
2019-08-23,58405,0.6949233798476158,0.23393545073195787,0.07114116942042634,0.09795394229946067,0.9020460577005394,0.26114202551151444,0.7388579744884856
2019-08-24,63223,0.5830789427898075,0.2976448444395236,0.1192762127706689,0.20146149344384165,0.7985385065561583,0.3149803077993768,0.6850196922006232
2019-08-25,61450,0.5859560618388934,0.2949552481692433,0.1190886899918633,0.20263628966639544,0.7973637103336045,0.3160292921074044,0.6839707078925956
2019-08-26,72964,0.6771421522942821,0.24928731977413518,0.0735705279315827,0.09318293953182391,0.9068170604681761,0.2695301792664876,0.7304698207335124
2019-08-27,76885,0.6865708525720231,0.24355856148793653,0.06987058594004032,0.08097808415165507,0.9190219158483449,0.2656955192820446,0.7343044807179554
2019-08-28,61371,0.7247071092209676,0.2205927881246843,0.054700102654348146,0.0658128431995568,0.9341871568004432,0.2540287758061625,0.7459712241938374
2019-08-29,77168,0.6801135185569148,0.24582728592162553,0.07405919552145968,0.09379535558780842,0.9062046444121916,0.2679608127721335,0.7320391872278664
2019-08-30,69717,0.6656769511023136,0.25283646743262045,0.0814865814650659,0.12114692255834301,0.878853077441657,0.27636014171579387,0.7236398582842061
2019-08-31,53205,0.5859035804905554,0.29467155342542994,0.11942486608401466,0.22550512169908843,0.7744948783009116,0.3175077530307302,0.6824922469692698
2019-09-01,50815,0.5718390239102628,0.30038374495719766,0.1277772311325396,0.24892256223556036,0.7510774377644396,0.3256912329036702,0.6743087670963298
2019-09-02,33642,0.6913382081921408,0.2265620355507996,0.08209975625705963,0.1474347541763272,0.8525652458236728,0.28244456334343976,0.7175554366565602
2019-09-03,77889,0.6792486743956143,0.24606812258470387,0.07468320301968186,0.08241215062460681,0.9175878493753932,0.26812515246055285,0.7318748475394472
2019-09-04,79741,0.6952383341066704,0.23907400208173962,0.06568766381159002,0.06941222206894822,0.9305877779310517,0.263641037860072,0.736358962139928
2019-09-05,83834,0.6932748049717299,0.24079728988238663,0.06592790514588354,0.07629362788367489,0.9237063721163251,0.26084882028771145,0.7391511797122885
2019-09-06,52214,0.7394185467499138,0.20894779177998238,0.0516336614701038,0.06323974412992683,0.9367602558700732,0.24299996169609683,0.7570000383039032
