date,total_trips,percentage_within_15min,percentage_15_to_30min,percentage_above30min,percentage_Customer,percentage_Subscriber,percentage_Female,percentage_Male
2020-06-01,46138,0.47045819064545497,0.3210802375482249,0.20846157180632016,0.1917291603450518,0.8082708396549482,0.3419740777666999,0.6580259222333
2020-06-02,40581,0.4531677385968803,0.3279120770804071,0.2189201843227126,0.17924644538084325,0.8207535546191568,0.3482171459550036,0.6517828540449964
2020-06-03,25915,0.5144510901022574,0.3054987459000579,0.18005016399768473,0.1399575535404206,0.8600424464595794,0.3459386455720625,0.6540613544279374
2020-06-04,35301,0.47018498059545055,0.3123140987507436,0.21750092065380583,0.17452763377807995,0.8254723662219201,0.3602447522733067,0.6397552477266932
2020-06-05,29935,0.5333890095206281,0.293903457491231,0.17270753298814098,0.14357775179555704,0.856422248204443,0.3414397862034408,0.6585602137965592
2020-06-06,47607,0.37439872287688786,0.349675467893377,0.27592580922973514,0.2558027180876762,0.7441972819123238,0.38756905497090766,0.6124309450290923
2020-06-07,67316,0.36258838909026087,0.35749301800463484,0.2799185929051043,0.2681086220215105,0.7318913779784895,0.38922395864281895,0.610776041357181
2020-06-08,53557,0.4674272270664899,0.3212465223966988,0.21132625053681126,0.19317736243628283,0.8068226375637172,0.35384730287357397,0.646152697126426
2020-06-09,53906,0.47254480020776907,0.3260490483434126,0.20140615144881832,0.19981078173116165,0.8001892182688384,0.35244685192742925,0.6475531480725707
2020-06-10,54992,0.4717049752691301,0.32104669770148386,0.2072483270293861,0.1984106779167879,0.8015893220832121,0.3564700320046552,0.6435299679953448
2020-06-11,39526,0.5359510195820473,0.29939786469665536,0.16465111572129737,0.155062490512574,0.844937509487426,0.3281131407175024,0.6718868592824976
2020-06-12,62502,0.46681706185402067,0.3258135739656331,0.20736936418034624,0.21458513327573517,0.7854148667242649,0.36002047934466097,0.639979520655339
2020-06-13,73712,0.3858666160191014,0.3556815715215976,0.25845181245930104,0.2943211417408292,0.7056788582591709,0.39463045365747773,0.6053695463425223
2020-06-14,65564,0.3868738942102373,0.35691843084619607,0.2562076749435666,0.2840278201452016,0.7159721798547983,0.39360014642181684,0.6063998535781832
2020-06-15,50689,0.4977213991201247,0.3162619108682357,0.18601669001163962,0.18564185523486357,0.8143581447651365,0.3515358361774744,0.6484641638225256
2020-06-16,57551,0.4859689666556619,0.32256607183194036,0.1914649615123977,0.19638233914267345,0.8036176608573266,0.35215721707702735,0.6478427829229727
2020-06-17,56393,0.5008955012146897,0.3165641125671626,0.18254038621814764,0.18979305942226873,0.8102069405777312,0.3556115120671005,0.6443884879328995
2020-06-18,54697,0.508949302521162,0.31217434228568297,0.178876355193155,0.18911457666782455,0.8108854233321754,0.35362085671974697,0.646379143280253
2020-06-19,68114,0.45914202660246056,0.3329711953489738,0.20788677804856565,0.2295563320315941,0.7704436679684059,0.3720086913116246,0.6279913086883754
2020-06-20,67368,0.41400961881011755,0.3459802873767961,0.24001009381308633,0.27743142144638405,0.722568578553616,0.37880002375014843,0.6211999762498516
2020-06-21,60259,0.41797905707031313,0.34282015964420254,0.23920078328548433,0.27549411706135185,0.7245058829386481,0.3800096251182396,0.6199903748817603
2020-06-22,53088,0.508834388185654,0.3120102471368294,0.17915536467751658,0.1867842073538276,0.8132157926461724,0.34275165762507537,0.6572483423749247
2020-06-23,59686,0.5085447173541534,0.3140770029822739,0.1773782796635727,0.19651174479777503,0.803488255202225,0.3475354354454981,0.652464564554502
2020-06-24,59184,0.50794133549608,0.3149499864828332,0.1771086780210868,0.19030481211138145,0.8096951878886185,0.3465801567991349,0.6534198432008651
2020-06-25,61468,0.5039207392464372,0.3198249495672545,0.17625431118630833,0.19351532504717903,0.806484674952821,0.34735146743020756,0.6526485325697924
2020-06-26,63859,0.49045553485021687,0.32008017663915816,0.18946428851062497,0.20136550838566217,0.7986344916143379,0.3486431043392474,0.6513568956607526
2020-06-27,50597,0.4790600233215408,0.3244065853706741,0.19653339130778505,0.2179575864181671,0.7820424135818329,0.3539340277091527,0.6460659722908473
2020-06-28,58894,0.43384725099331,0.3341426970489354,0.23201005195775462,0.24788603253302544,0.7521139674669746,0.36871328148877647,0.6312867185112235
2020-06-29,54596,0.5171807458421862,0.30819107626932374,0.17462817788849,0.1772107846728698,0.8227892153271302,0.34028133929225585,0.6597186607077441
2020-06-30,57987,0.5285322572300688,0.30751720213151224,0.16395054063841896,0.16710642040457344,0.8328935795954265,0.335799403314536,0.664200596685464
2020-07-01,56393,0.537034738354051,0.3039561647722235,0.15900909687372547,0.16737893000904366,0.8326210699909563,0.3330555210753108,0.6669444789246892
2020-07-02,64241,0.5137995983873227,0.31497019037686214,0.17123021123581514,0.19528027272302734,0.8047197272769726,0.3434411045905263,0.6565588954094737
2020-07-03,51228,0.5198719450300617,0.30772233934567034,0.17240571562426799,0.20318966190364646,0.7968103380963536,0.35980323260716796,0.640196767392832
2020-07-04,59131,0.4293348666520099,0.33777544773469076,0.23288968561329929,0.2776377872858568,0.7223622127141431,0.37430451032453366,0.6256954896754663
2020-07-05,54414,0.47017311721248206,0.32798544492226267,0.20184143786525527,0.25362958062263385,0.7463704193773661,0.3630499503804168,0.6369500496195832
2020-07-06,41140,0.5709528439474963,0.28648517258142925,0.14256198347107438,0.15631988332523092,0.843680116674769,0.32143898881866795,0.678561011181332
2020-07-07,60535,0.5432064095151565,0.30359296274882297,0.15320062773602047,0.16625092921450402,0.833749070785496,0.33603700338647063,0.6639629966135294
